ITEMS,Desc1,Desc2,Services ID
ETA,10-Sep,17-Sep,1
ETD,11-Sep,18-Sep,1
CY/CUTDIFF DATE/TIME,09/09-1500,16/09-1500,1
VESSELS,MSC Ruby,MSC Bosphorus,1
VOY,IS936R,IS937R,1
VIA,K0734,K0766,1
ROTATION DATE,178514-28/08,178891-04/09,1
ETA AICPL,13-Sep,20-Sep,1
ETA KAP,19-Sep,26-Sep,1
ETA BAR,26-Sep,03-Oct,1
ETA L.HVR,27-Sep,-,1
ETA FXT ,01-Oct,08-Oct,1
ETA ROT,04-Oct,11-Oct,1
ETA HAMB,05-Oct,12-Oct,1
ETA ANTW,07-Oct,14-Oct,1
ETA,12-Sep,19-Sep,2
ETD,13-Sep,20-Sep,2
CY/CUTDIFF DATE/TIME,2200-09-11,2200-09-18,2
VESSELS,San Clemente,Cap San Juan,2
VOY,936W,937W,2
VIA,K0731,K0762,2
ROTATION DATE,178498-28/08,178578-29/08,2
MICT,04-Sep,21-Sep,2
SALA,18-Sep,25-Sep,2
JED,23-Sep,30-Sep,2
S.CAN,24-Sep,01-Oct,2
P.TNG,29-Sep,06-Oct,2
FXT,04-Oct,11-Oct,2
ANT,06-Oct,13-Oct,2
HAM,08-Oct,15-Oct,2
BRE,10-Oct,17-Oct,2
ROT,13-Oct,20-Oct,2
