ITEMS,Desc1,Desc2,Services ID,Sr no,
ETA,19-Dec,24-Dec,01-Jan,1,
ETD,20-Dec,25-Dec,1,2,
CY/CUTDIFF DATE/TIME,18-12-1800,23/12-1500,1,3,
VESSELS,MSC Cristina,MSC Benedetta,1,4,
VOY,IS950R,IS951R,1,5,
VIA,K1206,-,1,6,
ROTATION DATE,184638-04/12,-,1,7,
ETA AICPL,22-Dec,27-Dec,1,8,
ETA KAP,28-Dec,02-Jan,1,9,
ETA BAR,04-Jan,09-Jan,1,10,
ETA L.HVR,09-Jan,14-Jan,1,11,
ETA FXT ,12-Jan,17-Jan,1,12,
ETA ROT,13-Jan,18-Jan,1,13,
ETA HAMB,15-Jan,20-Jan,1,14,
ETA ANTW,18-Jan,23-Jan,1,15,
ETA,19-Dec,26-Dec,2,16,ME/1
ETD,20-Dec,27-Dec,2,17,
CY/CUTDIFF DATE/TIME,18-12-2200,25-12-2200,2,18,
VESSELS,Cap San Vincent,Cap San Lazaro,2,19,
VOY,950W,951W,2,20,
VIA,K1193,K1228,2,21,
ROTATION DATE,183513-18-11,184113-26/11,2,22,
MICT,21-Dec,28-Dec,2,23,
SALA,25-Dec,01-Jan,2,24,
JED,29-Dec,05-Jan,2,25,
S.CAN,31-Dec,07-Jan,2,26,
P.TNG,05-Jan,12-Jan,2,27,
FXT,10-Jan,17-Jan,2,28,
ANT,12-Jan,19-Jan,2,29,
HAM,14-Jan,21-Jan,2,30,
BRE,15-Jan,22-Jan,2,31,
ROT,19-Jan,26-Jan,2,32,
ETA,18-Nov,25-Dec,3,33,IMED/GEM2
ETD,19-Dec,26-Dec,3,34,
CY/CUT OFF DATE/TIME,17-12-1800,24/12-1800,3,35,
VESSELS,Archimidis,MSC Roma,3,36,
VOY,IT950R,IT951R,3,37,
VIA,K1221,-,3,38,
ROTATION DATE,184796-6/12,-,3,39,
COL,21-Dec,28-Dec,3,40,
P.SAD,-,07-Jan,3,41,
MER,-,09-Jan,3,42,
PIR,-,11-Jan,3,43,
IST,-,13-Jan,3,44,
TKD,-,14-Jan,3,45,
MER,-,17-Jan,3,46,
ISK,-,18-Jan,3,47,
ETA,20-Dec,27-Dec,4,48,IPAK/EPIC1
ETD,22-Dec,29-Dec,4,49,
CY/CUT OFF DATE/TIME,20-12-1700,27/12-1700,4,50,
VESSELS,MSC Valencia,SM Charleston,4,51,
VOY,IP951R,IP952R,4,52,
VIA,K1207,-,4,53,
ROTATION DATE,184641-04/12,-,4,54,
HAZ,22-Dec,29-Dec,4,55,
AICTPL,24-Dec,31-Dec,4,56,
KAP,31-Dec,07-Jan,4,57,
GIO,06-Jan,13-Jan,4,58,
SOU,13-Jan,20-Jan,4,59,
RTM,16-Jan,23-Jan,4,60,
ANT,18-Jan,25-Jan,4,61,
LDG,19-Jan,26-Jan,4,62,
LEH,21-Jan,28-Jan,4,63,
ETA,21-Dec,28-Dec,5,64,EPIC/2/IPAK/2
ETD,22-Dec,29-Dec,5,65,
CY/CUT OFF DATE/TIME,20-12-2300,27-12-2300,5,66,
VESSELS,Cosco Belgium,Athenian,5,67,
VOY,043W,9348W,5,68,
VIA,K1225,K1237,5,69,
ROTATION DATE,184929-10/12,185046-11/12,5,70,
ACMTPL,23-Dec,30-Dec,5,71,
JED,31-Dec,07-Jan,5,72,
SUEZ,02-Jan,09-Jan,5,73,
P.TNG,08-Jan,15-Jan,5,74,
ROT,13-Jan,20-Jan,5,75,
HAM,15-Jan,22-Jan,5,76,
LGT,18-Jan,25-Jan,5,77,
ANT,19-Jan,26-Jan,5,78,
LEH,22-Jan,29-Jan,5,79,
ETA,19-Dec,26-Dec,6,80,IMEX
ETD,20-Dec,27-Dec,6,81,
CY/CUTDIFF DATE/TIME,19-12-1000,26/12-1000,6,82,
VESSELS,CMA CGM Rebelais,CMA CGM Lamartine,6,83,
VOY,0MX57W1MA,0MX59W1MA,6,84,
VIA,K1194,K1223,6,85,
ROTATION DATE,184477-02/12,184914-9/12,6,86,
ACMTPL,21-Dec,28-Dec,6,87,
JED,28-Dec,04-Jan,6,88,
MLT,03-Jan,10-Jan,6,89,
L.SP,05-Jan,12-Jan,6,90,
GOA,06-Jan,13-Jan,6,91,
VLC,09-Jan,16-Jan,6,92,
BCN,11-Jan,18-Jan,6,93,
FOS,13-Jan,20-Jan,6,94,
ETA,18-Dec,25-Dec,7,95,ME3
ETD,19-Dec,26-Dec,7,96,
CY/CUTDIFF DATE/TIME,18-12-0400,25/12-0400,7,97,
VESSELS,Santa Cruz,Maersk Kampala,7,98,
VOY,951W,952W,7,99,
VIA,K1192,K1227,7,100,
ROTATION DATE,183512-18-11,184112-26/11,7,101,
J.ALI,22-Dec,29-Dec,7,102,
SAL,26-Dec,02-Jan,7,103,
S.CAN,31-Dec,07-Jan,7,104,
P.SAD,01-Jan,08-Jan,7,105,
CAN,05-Jan,12-Jan,7,106,
AMB,06-Jan,13-Jan,7,107,
IJMIT,07-Jan,14-Jan,7,108,
BOSP,07-Jan,14-Jan,7,109,
ETA,19-Dec,26-Dec,7,110,INDUS EXP
ETD,20-Dec,27-Dec,8,111,
